,precision,recall,f1-score,support
Spruce/Fir,0.9723699449289749,0.9710158610271903,0.9716924312387071,42368.0
Lodgepole Pine,0.9769840849274901,0.9761564391733291,0.9765700866924448,56661.0
Ponderosa Pine,0.9662171555679132,0.9718920430708992,0.9690462911321807,7151.0
Cottonwood/Willow,0.9075785582255084,0.8943533697632058,0.9009174311926605,549.0
Aspen,0.909891248058001,0.9252238020010531,0.9174934725848564,1899.0
Douglas-fir,0.9486075222509331,0.9513389000863807,0.9499712478435882,3473.0
Krummholz,0.9683038954754416,0.9756216479765968,0.9719489981785063,4102.0
accuracy,0.9720403087699974,0.9720403087699974,0.9720403087699974,0.9720403087699974
macro avg,0.9499932013477518,0.9522288661569507,0.9510914226947061,116203.0
weighted avg,0.9720603130284,0.9720403087699974,0.9720477211874117,116203.0
